"filename", "language", "TypeScript", "SCSS", "Vue", "JSON", "svg", "CSS", "JavaScript", "JavaScript React", "HTML", "Markdown", "XML", "Groovy", "Ignore", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes.vue", "Vue", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\Private.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 119
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\PrivateAddEdit.vue", "Vue", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 25, 288
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\PrivateDetails.vue", "Vue", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\Public.vue", "Vue", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 106
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\PublicDetails.vue", "Vue", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\Spooncular.vue", "Vue", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 107
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Recipes\SpooncularDetails.vue", "Vue", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Health\Focus.vue", "Vue", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 98
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Health\Health.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Home.vue", "Vue", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 145
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\User\Profile.vue", "Vue", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\after-prepare\nativescript-webpack.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\before-checkForChanges\nativescript-core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\hooks\before-checkForChanges\nativescript-webpack.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\nativescript.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Studies\Semester8\Bakalauras\health-system\mobile\package-lock.json", "JSON", 0, 0, 0, 8452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8453
"d:\Studies\Semester8\Bakalauras\health-system\mobile\package.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\assets\thumbnail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\dot.gitignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 5, 5, 35
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\vscode.extensions.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tsconfig.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 40
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\env.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\references.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\shims.vue.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Studies\Semester8\Bakalauras\health-system\mobile\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 97, 18, 358
"d:\Studies\Semester8\Bakalauras\health-system\package-lock.json", "JSON", 0, 0, 0, 2847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2848
"d:\Studies\Semester8\Bakalauras\health-system\server\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Studies\Semester8\Bakalauras\health-system\server\config.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Studies\Semester8\Bakalauras\health-system\server\package-lock.json", "JSON", 0, 0, 0, 3185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3186
"d:\Studies\Semester8\Bakalauras\health-system\server\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Studies\Semester8\Bakalauras\health-system\server\src\app.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 56
